Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
South America,Chile,Electronics,Online,High,2023-06-30,851733,2023-07-15,59,441.28,233.76,26035.52,13791.84,12243.68
North America,Canada,Electronics,Offline,Medium,2020-07-30,670815,2020-08-05,149,160.18,136.18,23866.82,20290.82,3576.0
Australia,Australia,Electronics,Offline,Low,2020-10-27,194954,2020-11-08,10,137.64,111.31,1376.4,1113.1,263.3
Africa,Nigeria,Food,Online,High,2021-07-05,859688,2021-07-10,78,44.56,30.0,3475.68,2340.0,1135.68
Africa,Kenya,Food,Online,Medium,2022-09-01,661722,2022-09-21,339,290.37,206.46,98435.43,69989.94,28445.49
South America,Chile,Clothing,Online,Medium,2023-03-31,866343,2023-04-04,461,362.43,259.59,167080.23,119670.99,47409.24
Australia,New Zealand,Food,Offline,Medium,2021-03-22,558863,2021-03-27,5,341.07,260.1,1705.35,1300.5,404.85
North America,Mexico,Beverages,Online,Low,2021-06-30,150044,2021-07-12,500,413.1,351.86,206550.0,175930.0,30620.0
South America,Colombia,Food,Offline,Medium,2020-11-22,964093,2020-12-11,491,412.61,270.83,202591.51,132977.53,69613.98
Australia,New Zealand,Electronics,Offline,Low,2022-01-12,648218,2022-01-31,48,231.38,136.65,11106.24,6559.2,4547.04
Europe,Germany,Furniture,Online,Medium,2020-07-14,445007,2020-07-22,45,293.52,172.81,13208.4,7776.45,5431.95
Europe,Italy,Food,Online,Medium,2023-08-07,361389,2023-08-11,52,78.19,61.28,4065.88,3186.56,879.32
South America,Argentina,Electronics,Offline,Low,2022-10-19,291626,2022-10-27,24,55.02,30.37,1320.48,728.88,591.6
Africa,Kenya,Food,Online,High,2023-08-31,698040,2023-09-02,391,17.88,13.72,6991.08,5364.52,1626.56
Asia,Japan,Beverages,Offline,High,2021-10-11,923330,2021-10-24,196,315.59,250.39,61855.64,49076.44,12779.2
North America,Mexico,Office Supplies,Offline,Low,2020-06-12,729930,2020-06-19,491,47.3,37.56,23224.3,18441.96,4782.34
Australia,New Zealand,Electronics,Online,Critical,2020-02-28,198867,2020-03-16,102,65.18,37.73,6648.36,3848.46,2799.9
Europe,Germany,Electronics,Online,Low,2023-12-06,523592,2023-12-25,391,468.57,405.13,183210.87,158405.83,24805.04
Europe,Italy,Beverages,Offline,High,2021-12-24,974583,2022-01-13,15,310.46,212.18,4656.9,3182.7,1474.2
Asia,China,Electronics,Online,Medium,2023-06-07,352604,2023-06-18,479,461.44,400.19,221029.76,191691.01,29338.75
North America,Canada,Beverages,Online,Low,2020-10-18,511310,2020-11-03,321,80.51,63.67,25843.71,20438.07,5405.64
Africa,Kenya,Clothing,Offline,Critical,2022-02-05,715389,2022-02-16,397,473.06,414.09,187804.82,164393.73,23411.09
Asia,China,Food,Online,Low,2021-04-07,530872,2021-04-21,73,413.98,288.55,30220.54,21064.15,9156.39
Australia,New Zealand,Furniture,Offline,Low,2020-09-16,151748,2020-10-02,394,191.97,112.3,75636.18,44246.2,31389.98
North America,Mexico,Beverages,Offline,Medium,2023-11-06,835639,2023-11-09,86,327.44,253.83,28159.84,21829.38,6330.46
Africa,South Africa,Clothing,Offline,High,2021-11-12,160891,2021-11-24,420,173.04,93.74,72676.8,39370.8,33306.0
Africa,Egypt,Food,Online,Medium,2022-09-10,359164,2022-09-12,112,146.4,120.59,16396.8,13506.08,2890.72
North America,USA,Beverages,Online,High,2022-10-29,798694,2022-11-05,198,337.4,289.79,66805.2,57378.42,9426.78
Africa,Nigeria,Clothing,Offline,Medium,2022-08-04,342641,2022-08-21,281,144.38,96.6,40570.78,27144.6,13426.18
South America,Chile,Furniture,Online,Medium,2021-09-24,624922,2021-10-06,46,420.76,282.1,19354.96,12976.6,6378.36
Asia,Japan,Office Supplies,Online,Low,2023-07-25,161749,2023-08-02,229,417.34,342.01,95570.86,78320.29,17250.57
Europe,France,Food,Offline,Medium,2020-02-20,109235,2020-03-04,335,352.56,273.48,118107.6,91615.8,26491.8
Europe,UK,Beverages,Online,High,2020-09-23,436809,2020-10-08,260,88.48,54.32,23004.8,14123.2,8881.6
South America,Brazil,Beverages,Online,Low,2021-11-15,873165,2021-11-20,303,317.0,212.86,96051.0,64496.58,31554.42
North America,Canada,Clothing,Online,Medium,2022-07-16,346915,2022-08-02,140,390.57,265.32,54679.8,37144.8,17535.0
Africa,Egypt,Office Supplies,Offline,Medium,2023-07-06,267203,2023-07-16,477,361.24,213.29,172311.48,101739.33,70572.15
Australia,New Zealand,Clothing,Online,Critical,2021-04-21,381155,2021-04-28,280,288.96,232.17,80908.8,65007.6,15901.2
North America,Canada,Electronics,Offline,Low,2021-12-14,321151,2022-01-03,288,336.2,252.52,96825.6,72725.76,24099.84
North America,Canada,Beverages,Online,Critical,2023-07-16,465167,2023-07-18,461,128.75,94.41,59353.75,43523.01,15830.74
Europe,UK,Office Supplies,Online,Medium,2020-02-24,221552,2020-03-01,119,66.97,55.91,7969.43,6653.29,1316.14
North America,Canada,Beverages,Online,High,2022-06-13,897327,2022-07-02,434,365.99,224.21,158839.66,97307.14,61532.52
South America,Colombia,Food,Online,Low,2022-01-14,278416,2022-01-31,320,466.89,286.28,149404.8,91609.6,57795.2
Australia,Australia,Electronics,Offline,Low,2020-07-08,827471,2020-07-26,61,339.82,272.36,20729.02,16613.96,4115.06
Australia,New Zealand,Office Supplies,Offline,Low,2021-05-14,501894,2021-05-27,107,51.64,44.34,5525.48,4744.38,781.1
Africa,Egypt,Beverages,Offline,High,2021-06-19,473268,2021-06-23,323,330.67,282.39,106806.41,91211.97,15594.44
South America,Colombia,Furniture,Offline,Critical,2022-04-02,709513,2022-04-17,263,37.58,23.86,9883.54,6275.18,3608.36
Europe,Germany,Clothing,Online,Medium,2021-11-23,885091,2021-11-28,86,396.64,292.06,34111.04,25117.16,8993.88
North America,USA,Electronics,Offline,Critical,2021-10-10,907392,2021-10-25,474,378.13,271.72,179233.62,128795.28,50438.34
North America,USA,Electronics,Offline,High,2021-06-24,590244,2021-07-03,109,297.74,259.03,32453.66,28234.27,4219.39
Asia,India,Office Supplies,Online,Medium,2020-06-24,663562,2020-07-04,491,415.08,288.31,203804.28,141560.21,62244.07
North America,Mexico,Office Supplies,Offline,Medium,2020-05-21,894934,2020-06-05,291,226.37,196.78,65873.67,57262.98,8610.69
Europe,France,Furniture,Online,Low,2022-03-12,448423,2022-03-31,177,139.25,82.78,24647.25,14652.06,9995.19
Europe,Spain,Electronics,Online,Low,2020-09-17,986466,2020-10-04,161,273.39,228.66,44015.79,36814.26,7201.53
South America,Colombia,Food,Offline,Critical,2021-08-14,836024,2021-08-19,375,495.65,263.27,185868.75,98726.25,87142.5
Asia,Japan,Electronics,Online,Medium,2022-12-03,680549,2022-12-08,163,42.47,23.15,6922.61,3773.45,3149.16
South America,Colombia,Furniture,Online,Medium,2021-09-17,952678,2021-09-23,194,442.43,317.47,85831.42,61589.18,24242.24
Australia,Australia,Beverages,Online,Low,2022-08-07,431908,2022-08-17,225,15.35,9.97,3453.75,2243.25,1210.5
Africa,Nigeria,Furniture,Offline,Low,2022-10-18,604815,2022-10-22,431,137.42,83.02,59228.02,35781.62,23446.4
Europe,UK,Electronics,Offline,High,2022-09-08,618873,2022-09-23,371,255.26,221.59,94701.46,82209.89,12491.57
Africa,Egypt,Furniture,Offline,Low,2021-04-29,984386,2021-05-16,45,106.45,53.66,4790.25,2414.7,2375.55
North America,USA,Clothing,Offline,Critical,2021-11-05,255432,2021-11-20,224,241.22,178.99,54033.28,40093.76,13939.52
Africa,Kenya,Furniture,Offline,Medium,2022-11-29,414622,2022-12-14,91,229.93,146.55,20923.63,13336.05,7587.58
Asia,Japan,Office Supplies,Online,Critical,2020-01-18,222206,2020-01-31,419,365.75,252.12,153249.25,105638.28,47610.97
Australia,Australia,Furniture,Online,Critical,2021-06-10,631045,2021-06-13,4,161.76,133.76,647.04,535.04,112.0
South America,Argentina,Office Supplies,Online,Low,2022-03-25,863552,2022-04-05,152,143.49,107.97,21810.48,16411.44,5399.04
South America,Colombia,Food,Online,High,2023-11-02,686092,2023-11-07,203,51.95,28.98,10545.85,5882.94,4662.91
Europe,Italy,Furniture,Online,Medium,2022-04-03,232820,2022-04-17,251,401.88,263.06,100871.88,66028.06,34843.82
Europe,Italy,Office Supplies,Offline,Low,2020-04-19,434371,2020-05-03,28,417.15,228.76,11680.2,6405.28,5274.92
Europe,Italy,Electronics,Online,High,2022-07-25,792163,2022-08-05,411,293.38,228.49,120579.18,93909.39,26669.79
Asia,India,Clothing,Online,High,2021-12-30,130741,2022-01-02,124,255.78,206.55,31716.72,25612.2,6104.52
North America,Canada,Furniture,Online,Critical,2023-08-05,106996,2023-08-18,47,159.59,126.85,7500.73,5961.95,1538.78
North America,USA,Beverages,Online,Critical,2022-12-02,748768,2022-12-06,63,212.23,132.91,13370.49,8373.33,4997.16
South America,Chile,Furniture,Online,High,2022-11-28,943935,2022-12-15,482,454.09,283.15,218871.38,136478.3,82393.08
Africa,Nigeria,Office Supplies,Offline,Critical,2022-03-02,316427,2022-03-21,69,143.29,111.97,9887.01,7725.93,2161.08
Australia,Australia,Office Supplies,Offline,High,2020-05-11,405005,2020-05-14,251,106.9,73.03,26831.9,18330.53,8501.37
South America,Argentina,Office Supplies,Offline,High,2022-11-21,829107,2022-12-11,194,143.07,126.68,27755.58,24575.92,3179.66
Europe,Spain,Office Supplies,Offline,High,2020-03-29,281588,2020-04-14,253,447.84,264.41,113303.52,66895.73,46407.79
North America,USA,Beverages,Offline,Medium,2023-08-24,357897,2023-09-03,416,36.59,22.62,15221.44,9409.92,5811.52
South America,Colombia,Food,Offline,High,2021-04-15,832816,2021-04-25,89,194.48,115.71,17308.72,10298.19,7010.53
North America,Canada,Furniture,Online,Medium,2023-02-10,470483,2023-03-01,328,125.8,71.51,41262.4,23455.28,17807.12
Europe,France,Furniture,Offline,Low,2021-03-30,831081,2021-04-13,137,485.94,371.48,66573.78,50892.76,15681.02
North America,USA,Clothing,Online,Medium,2021-06-03,145004,2021-06-15,303,38.91,31.31,11789.73,9486.93,2302.8
Europe,Germany,Clothing,Offline,Low,2022-08-16,369276,2022-09-01,159,41.83,28.84,6650.97,4585.56,2065.41
Africa,Kenya,Beverages,Online,Critical,2021-12-21,818943,2022-01-07,40,14.23,11.39,569.2,455.6,113.6
Europe,Italy,Beverages,Online,Critical,2022-12-15,730653,2022-12-30,39,203.47,111.91,7935.33,4364.49,3570.84
South America,Colombia,Furniture,Offline,Low,2020-06-12,965788,2020-06-14,268,25.58,22.76,6855.44,6099.68,755.76
South America,Colombia,Electronics,Online,Medium,2023-07-27,786418,2023-08-03,262,101.72,63.65,26650.64,16676.3,9974.34
Australia,New Zealand,Electronics,Online,Critical,2023-04-16,672597,2023-04-19,305,270.57,240.62,82523.85,73389.1,9134.75
North America,USA,Beverages,Online,Critical,2022-02-14,899623,2022-03-02,100,209.63,148.08,20963.0,14808.0,6155.0
Australia,Australia,Electronics,Online,Low,2023-12-28,482132,2024-01-01,239,172.46,109.22,41217.94,26103.58,15114.36
Africa,South Africa,Office Supplies,Offline,High,2020-10-02,161577,2020-10-15,262,78.1,69.08,20462.2,18098.96,2363.24
South America,Argentina,Office Supplies,Offline,High,2020-11-03,573199,2020-11-06,92,63.59,48.96,5850.28,4504.32,1345.96
Africa,South Africa,Clothing,Online,Critical,2020-11-03,692006,2020-11-16,500,305.42,266.84,152710.0,133420.0,19290.0
Asia,India,Clothing,Online,High,2023-07-03,328087,2023-07-10,391,488.38,281.9,190956.58,110222.9,80733.68
North America,Canada,Food,Offline,High,2021-06-10,379340,2021-06-26,244,481.57,249.55,117503.08,60890.2,56612.88
North America,Canada,Office Supplies,Offline,Critical,2021-08-31,235189,2021-09-07,129,487.69,286.85,62912.01,37003.65,25908.36
Australia,Australia,Furniture,Online,Low,2023-03-27,273710,2023-04-12,136,410.57,240.48,55837.52,32705.28,23132.24
North America,Canada,Office Supplies,Offline,Medium,2023-10-31,482683,2023-11-14,298,47.95,30.26,14289.1,9017.48,5271.62
Australia,New Zealand,Beverages,Offline,High,2020-04-14,842705,2020-04-21,161,218.92,170.22,35246.12,27405.42,7840.7
South America,Argentina,Clothing,Online,Medium,2020-09-20,770285,2020-10-04,226,204.45,117.83,46205.7,26629.58,19576.12
Australia,Australia,Office Supplies,Offline,Low,2021-06-08,708118,2021-06-21,368,494.56,347.25,181998.08,127788.0,54210.08
South America,Colombia,Office Supplies,Online,High,2020-05-03,459935,2020-05-17,300,206.45,125.8,61935.0,37740.0,24195.0
South America,Argentina,Beverages,Offline,Critical,2020-10-24,810565,2020-11-12,139,36.1,22.14,5017.9,3077.46,1940.44
South America,Chile,Clothing,Online,High,2021-11-04,353460,2021-11-16,352,84.36,58.19,29694.72,20482.88,9211.84
Asia,Indonesia,Furniture,Online,Critical,2022-11-07,294240,2022-11-12,341,340.02,211.57,115946.82,72145.37,43801.45
South America,Colombia,Furniture,Online,Critical,2022-12-24,569727,2022-12-30,64,375.67,291.94,24042.88,18684.16,5358.72
South America,Colombia,Electronics,Offline,Medium,2022-04-04,797236,2022-04-19,125,499.74,410.55,62467.5,51318.75,11148.75
North America,USA,Furniture,Online,Low,2022-07-09,367373,2022-07-19,134,348.93,240.18,46756.62,32184.12,14572.5
Asia,India,Beverages,Online,Low,2022-07-19,781055,2022-08-06,222,473.84,381.52,105192.48,84697.44,20495.04
Europe,Spain,Beverages,Online,Low,2020-04-09,651063,2020-04-15,96,448.41,252.3,43047.36,24220.8,18826.56
North America,Canada,Beverages,Online,High,2022-03-12,510081,2022-03-28,21,187.78,164.36,3943.38,3451.56,491.82
South America,Argentina,Clothing,Online,Low,2022-05-24,907807,2022-06-05,34,300.05,165.77,10201.7,5636.18,4565.52
Europe,France,Office Supplies,Offline,Low,2022-04-28,331242,2022-05-04,225,358.18,206.73,80590.5,46514.25,34076.25
Europe,UK,Furniture,Online,Low,2020-07-18,510180,2020-08-03,432,59.08,52.95,25522.56,22874.4,2648.16
Europe,Spain,Clothing,Offline,Medium,2023-02-16,946348,2023-02-21,355,341.18,192.11,121118.9,68199.05,52919.85
South America,Chile,Beverages,Online,High,2022-04-30,354190,2022-05-06,446,224.48,131.87,100118.08,58814.02,41304.06
North America,Canada,Food,Offline,Medium,2022-10-08,777089,2022-10-10,312,238.94,195.23,74549.28,60911.76,13637.52
Australia,New Zealand,Office Supplies,Online,Critical,2022-09-25,431387,2022-09-28,2,120.73,74.85,241.46,149.7,91.76
South America,Chile,Beverages,Offline,Medium,2022-04-15,798771,2022-04-24,255,498.82,295.27,127199.1,75293.85,51905.25
Europe,France,Food,Online,Critical,2023-08-22,269887,2023-08-29,426,224.87,145.32,95794.62,61906.32,33888.3
Australia,New Zealand,Office Supplies,Online,Medium,2022-11-12,248214,2022-11-23,249,88.62,52.62,22066.38,13102.38,8964.0
Africa,South Africa,Clothing,Online,Critical,2023-01-26,760963,2023-01-29,49,147.11,115.68,7208.39,5668.32,1540.07
Asia,Japan,Furniture,Offline,Low,2020-05-17,889480,2020-05-22,451,211.09,180.05,95201.59,81202.55,13999.04
Europe,France,Food,Offline,Medium,2022-03-08,428982,2022-03-13,331,310.55,253.09,102792.05,83772.79,19019.26
Australia,Australia,Office Supplies,Online,Low,2020-10-08,704777,2020-10-20,304,389.38,330.05,118371.52,100335.2,18036.32
Europe,Spain,Furniture,Offline,Medium,2021-02-08,666876,2021-02-15,314,309.46,157.56,97170.44,49473.84,47696.6
Africa,Nigeria,Office Supplies,Offline,Low,2023-10-04,134706,2023-10-16,262,250.39,186.27,65602.18,48802.74,16799.44
South America,Colombia,Office Supplies,Offline,Low,2021-07-13,167589,2021-07-30,348,451.05,227.28,156965.4,79093.44,77871.96
Australia,Australia,Electronics,Offline,High,2020-03-19,473667,2020-03-30,249,81.21,71.31,20221.29,17756.19,2465.1
Europe,Italy,Clothing,Offline,Low,2020-09-15,921951,2020-09-29,27,388.36,261.94,10485.72,7072.38,3413.34
Africa,Nigeria,Food,Online,Low,2023-01-31,218742,2023-02-06,175,353.99,271.94,61948.25,47589.5,14358.75
Africa,South Africa,Furniture,Online,Critical,2023-10-12,419023,2023-10-14,149,248.77,156.03,37066.73,23248.47,13818.26
Africa,Nigeria,Food,Online,Critical,2021-08-23,729873,2021-09-08,86,345.56,279.77,29718.16,24060.22,5657.94
Asia,South Korea,Electronics,Offline,High,2023-09-13,151286,2023-09-20,383,230.64,172.1,88335.12,65914.3,22420.82
Africa,Egypt,Office Supplies,Offline,Critical,2020-04-21,924057,2020-05-08,20,154.23,129.69,3084.6,2593.8,490.8
Europe,Spain,Clothing,Offline,Medium,2023-07-02,196723,2023-07-11,415,377.15,212.97,156517.25,88382.55,68134.7
Africa,South Africa,Furniture,Offline,Low,2021-06-02,502706,2021-06-20,52,64.18,38.87,3337.36,2021.24,1316.12
Australia,New Zealand,Office Supplies,Online,Critical,2023-01-10,769292,2023-01-28,108,184.52,110.85,19928.16,11971.8,7956.36
South America,Chile,Food,Offline,Low,2020-04-06,175364,2020-04-23,409,300.71,176.4,122990.39,72147.6,50842.79
Africa,Kenya,Food,Offline,High,2022-05-02,476532,2022-05-20,246,202.62,119.25,49844.52,29335.5,20509.02
Europe,Italy,Food,Offline,High,2022-10-03,113324,2022-10-20,150,152.62,105.01,22893.0,15751.5,7141.5
North America,Mexico,Clothing,Online,High,2023-03-01,164571,2023-03-15,21,31.27,18.49,656.67,388.29,268.38
Asia,South Korea,Beverages,Offline,Critical,2021-08-12,778919,2021-08-23,281,348.76,211.39,98001.56,59400.59,38600.97
Asia,China,Beverages,Offline,Critical,2020-04-24,348820,2020-05-05,48,41.71,33.37,2002.08,1601.76,400.32
North America,Mexico,Food,Offline,Low,2020-12-09,427630,2020-12-15,388,77.03,59.37,29887.64,23035.56,6852.08
Africa,Nigeria,Beverages,Online,Critical,2021-10-21,856543,2021-11-07,281,151.21,97.53,42490.01,27405.93,15084.08
South America,Chile,Clothing,Offline,Critical,2020-02-27,590862,2020-03-03,361,438.47,309.44,158287.67,111707.84,46579.83
Australia,Australia,Furniture,Offline,High,2023-08-18,645492,2023-09-03,480,81.95,55.2,39336.0,26496.0,12840.0
Australia,New Zealand,Electronics,Online,High,2022-10-22,531518,2022-11-09,234,350.94,263.36,82119.96,61626.24,20493.72
Africa,Nigeria,Electronics,Offline,High,2020-12-22,332554,2020-12-28,163,460.25,261.57,75020.75,42635.91,32384.84
Asia,South Korea,Electronics,Online,Critical,2020-10-23,527795,2020-11-03,81,161.78,84.16,13104.18,6816.96,6287.22
Australia,New Zealand,Electronics,Offline,High,2021-04-24,393281,2021-05-06,5,383.41,283.05,1917.05,1415.25,501.8
Africa,Nigeria,Food,Online,Medium,2020-03-18,635972,2020-04-06,171,75.08,53.56,12838.68,9158.76,3679.92
Asia,China,Furniture,Online,Medium,2021-12-14,635739,2021-12-16,146,497.72,277.17,72667.12,40466.82,32200.3
Africa,Nigeria,Electronics,Offline,Medium,2023-11-29,959221,2023-12-06,391,382.86,273.23,149698.26,106832.93,42865.33
Africa,Egypt,Beverages,Online,High,2021-06-09,355765,2021-06-29,79,59.85,44.36,4728.15,3504.44,1223.71
South America,Chile,Electronics,Offline,Medium,2021-11-20,194839,2021-11-23,261,395.45,308.68,103212.45,80565.48,22646.97
Asia,Indonesia,Office Supplies,Online,Medium,2021-09-13,126633,2021-09-28,248,98.97,51.3,24544.56,12722.4,11822.16
Europe,France,Furniture,Online,High,2021-04-10,274542,2021-04-17,227,82.41,72.57,18707.07,16473.39,2233.68
Europe,France,Beverages,Offline,Critical,2022-02-17,834072,2022-02-27,428,73.4,47.11,31415.2,20163.08,11252.12
North America,Mexico,Clothing,Online,Medium,2023-11-16,832840,2023-11-20,204,91.02,56.5,18568.08,11526.0,7042.08
North America,Canada,Office Supplies,Online,High,2021-05-14,172127,2021-05-27,416,360.52,242.65,149976.32,100942.4,49033.92
Africa,South Africa,Beverages,Online,Medium,2022-03-08,289735,2022-03-19,77,239.61,167.48,18449.97,12895.96,5554.01
Africa,Kenya,Office Supplies,Offline,Medium,2020-01-10,976669,2020-01-18,464,45.93,33.23,21311.52,15418.72,5892.8
Europe,UK,Clothing,Offline,Medium,2020-10-04,179184,2020-10-12,453,446.32,291.49,202182.96,132044.97,70137.99
Europe,Germany,Furniture,Offline,Medium,2021-04-01,699366,2021-04-07,141,66.21,39.19,9335.61,5525.79,3809.82
South America,Argentina,Beverages,Offline,High,2021-10-21,977916,2021-10-29,364,104.47,63.86,38027.08,23245.04,14782.04
Australia,New Zealand,Furniture,Offline,Medium,2022-08-18,468549,2022-08-26,412,481.14,307.41,198229.68,126652.92,71576.76
Africa,Kenya,Electronics,Offline,High,2022-05-04,195426,2022-05-22,433,137.51,76.91,59541.83,33302.03,26239.8
North America,Mexico,Beverages,Online,High,2020-09-25,974663,2020-10-03,449,388.46,220.28,174418.54,98905.72,75512.82
North America,Canada,Clothing,Offline,High,2023-05-30,205311,2023-06-11,483,309.37,265.9,149425.71,128429.7,20996.01
North America,Mexico,Furniture,Offline,High,2022-07-15,217943,2022-07-25,250,467.9,368.34,116975.0,92085.0,24890.0
Africa,Egypt,Furniture,Offline,Medium,2022-01-06,423552,2022-01-23,260,321.84,197.64,83678.4,51386.4,32292.0
North America,Mexico,Clothing,Offline,Low,2020-05-08,843704,2020-05-28,237,437.7,352.87,103734.9,83630.19,20104.71
Africa,Nigeria,Food,Offline,Medium,2022-08-06,360959,2022-08-17,25,498.22,409.72,12455.5,10243.0,2212.5
Europe,UK,Clothing,Offline,Medium,2023-04-05,123719,2023-04-21,402,438.49,330.1,176272.98,132700.2,43572.78
Australia,Australia,Clothing,Online,Critical,2020-06-16,141016,2020-06-27,147,85.21,42.78,12525.87,6288.66,6237.21
Asia,Indonesia,Clothing,Offline,Critical,2020-04-10,976399,2020-04-30,392,151.94,86.79,59560.48,34021.68,25538.8
North America,Canada,Furniture,Offline,Low,2020-02-28,722759,2020-03-18,36,453.42,283.68,16323.12,10212.48,6110.64
North America,Mexico,Office Supplies,Offline,Critical,2022-02-06,546002,2022-02-26,168,175.09,131.09,29415.12,22023.12,7392.0
Europe,Italy,Food,Online,Medium,2020-02-23,943695,2020-03-14,105,55.1,35.4,5785.5,3717.0,2068.5
Australia,Australia,Beverages,Offline,High,2021-03-03,745454,2021-03-17,222,346.41,242.77,76903.02,53894.94,23008.08
South America,Argentina,Food,Offline,High,2022-10-22,189996,2022-10-29,147,476.37,348.06,70026.39,51164.82,18861.57
Asia,Japan,Office Supplies,Offline,Medium,2021-06-05,248285,2021-06-16,21,12.66,9.6,265.86,201.6,64.26
Asia,Japan,Food,Online,Low,2020-02-28,340917,2020-03-05,121,364.34,303.46,44085.14,36718.66,7366.48
Africa,Nigeria,Electronics,Offline,Medium,2022-10-31,531575,2022-11-11,71,157.02,95.6,11148.42,6787.6,4360.82
Europe,Italy,Electronics,Offline,High,2021-11-29,750395,2021-12-14,226,129.61,69.53,29291.86,15713.78,13578.08
North America,USA,Beverages,Offline,Low,2020-07-06,843317,2020-07-16,322,421.47,376.79,135713.34,121326.38,14386.96
Africa,South Africa,Furniture,Online,Critical,2022-01-28,892942,2022-02-15,8,323.46,245.48,2587.68,1963.84,623.84
Europe,UK,Furniture,Online,Medium,2022-06-02,501454,2022-06-22,418,95.38,79.74,39868.84,33331.32,6537.52
Australia,Australia,Beverages,Offline,Low,2021-03-28,556034,2021-03-30,424,342.95,226.99,145410.8,96243.76,49167.04
South America,Colombia,Furniture,Online,Low,2021-09-25,934897,2021-10-07,105,417.88,364.08,43877.4,38228.4,5649.0
North America,USA,Clothing,Online,Medium,2022-02-13,200633,2022-02-28,33,356.77,254.42,11773.41,8395.86,3377.55
Asia,India,Food,Online,High,2020-03-26,287889,2020-03-28,487,5.19,3.69,2527.53,1797.03,730.5
Africa,Kenya,Beverages,Offline,Low,2022-04-04,171558,2022-04-09,496,383.62,240.32,190275.52,119198.72,71076.8
Australia,Australia,Clothing,Offline,Critical,2021-01-23,617537,2021-02-10,186,326.12,251.59,60658.32,46795.74,13862.58
South America,Colombia,Beverages,Online,Low,2020-04-18,147527,2020-05-06,129,35.92,20.72,4633.68,2672.88,1960.8
Europe,Germany,Clothing,Online,Medium,2021-08-05,185944,2021-08-18,72,121.12,74.49,8720.64,5363.28,3357.36
Asia,India,Food,Offline,Low,2023-02-15,738924,2023-02-22,253,293.95,257.83,74369.35,65230.99,9138.36
Asia,South Korea,Furniture,Online,Medium,2021-03-15,306865,2021-03-31,140,351.66,276.45,49232.4,38703.0,10529.4
Europe,UK,Office Supplies,Offline,High,2020-08-15,383822,2020-08-19,58,84.32,70.74,4890.56,4102.92,787.64
Africa,Kenya,Office Supplies,Online,High,2020-05-13,905922,2020-05-19,291,423.28,313.57,123174.48,91248.87,31925.61
